timestamp,device_id,power_kw,energy_kwh,voltage_v,current_a,frequency_hz,irradiance_w_m2,panel_temperature_c,state
2025-06-01T07:00:00,solar-inv-001,0.747,1.088,227.4,3.28,49.998,142.8,27.2,on
2025-06-01T07:15:00,solar-inv-001,2.115,1.617,231.2,9.15,50.031,415.6,36.4,on
2025-06-01T07:30:00,solar-inv-001,0.591,1.765,229.5,2.58,50.015,120.2,26.7,on
2025-06-01T07:45:00,solar-inv-001,1.904,2.241,228.7,8.33,49.975,378.2,38.8,on
2025-06-01T08:00:00,solar-inv-001,2.623,2.897,229.9,11.41,50.003,522.4,41.6,on
2025-06-01T08:15:00,solar-inv-001,2.783,3.592,230.8,12.06,49.99,551.9,41.6,on
2025-06-01T08:30:00,solar-inv-001,3.466,4.459,230.6,15.03,49.993,685.0,46.0,on
2025-06-01T08:45:00,solar-inv-001,2.483,5.08,229.0,10.84,50.008,496.8,39.7,on
2025-06-01T09:00:00,solar-inv-001,0.913,5.308,231.0,3.95,49.996,185.1,31.1,on
2025-06-01T09:15:00,solar-inv-001,0.926,5.539,233.4,3.97,50.0,188.0,33.8,on
2025-06-01T09:30:00,solar-inv-001,3.504,6.415,231.5,15.14,50.019,695.8,48.3,on
2025-06-01T09:45:00,solar-inv-001,4.505,7.542,232.4,19.38,50.027,879.6,52.4,on
2025-06-01T10:00:00,solar-inv-001,4.741,8.727,232.0,20.44,50.005,938.3,57.8,on
2025-06-01T10:15:00,solar-inv-001,3.156,9.516,229.9,13.73,50.005,623.1,46.6,on
2025-06-01T10:30:00,solar-inv-001,4.014,10.519,229.9,17.46,49.998,791.3,52.4,on
2025-06-01T10:45:00,solar-inv-001,3.799,11.469,228.8,16.6,50.0,758.2,51.9,on
2025-06-01T11:00:00,solar-inv-001,4.535,12.603,229.1,19.79,50.008,898.5,56.5,on
2025-06-01T11:15:00,solar-inv-001,3.722,13.533,228.7,16.27,50.031,739.9,53.4,on
2025-06-01T11:30:00,solar-inv-001,3.904,14.509,228.6,17.08,49.979,777.6,52.6,on
2025-06-01T11:45:00,solar-inv-001,5.522,15.89,228.6,24.16,49.976,1096.3,63.8,on
2025-06-01T12:00:00,solar-inv-001,4.118,16.919,229.2,17.97,49.93,817.0,55.4,on
2025-06-01T12:15:00,solar-inv-001,0.938,17.154,234.6,4.0,50.03,186.9,34.2,on
2025-06-01T12:30:00,solar-inv-001,4.319,18.234,227.3,19.0,49.955,853.9,53.6,on
2025-06-01T12:45:00,solar-inv-001,1.974,18.727,232.8,8.48,50.01,393.5,41.4,on
2025-06-01T13:00:00,solar-inv-001,1.517,19.106,232.7,6.52,49.997,301.8,38.1,on
2025-06-01T13:15:00,solar-inv-001,4.8,20.306,230.3,20.84,50.005,961.0,57.9,on
2025-06-01T13:30:00,solar-inv-001,4.351,21.394,230.1,18.91,49.99,856.5,54.3,on
2025-06-01T13:45:00,solar-inv-001,4.955,22.633,230.1,21.53,50.037,983.6,59.4,on
2025-06-01T14:00:00,solar-inv-001,5.237,23.942,227.7,23.0,50.006,1036.3,60.2,on
2025-06-01T14:15:00,solar-inv-001,3.857,24.906,226.2,17.05,50.011,763.0,50.8,on
2025-06-01T14:30:00,solar-inv-001,1.747,25.343,228.6,7.64,49.992,343.6,37.8,on
2025-06-01T14:45:00,solar-inv-001,4.932,26.576,229.5,21.49,50.003,971.3,56.5,on
2025-06-01T15:00:00,solar-inv-001,4.392,27.674,228.5,19.22,50.024,864.9,51.6,on
2025-06-01T15:15:00,solar-inv-001,3.349,28.511,232.5,14.4,50.009,658.1,45.8,on
2025-06-01T15:30:00,solar-inv-001,4.157,29.55,233.4,17.81,50.001,827.2,51.1,on
2025-06-01T15:45:00,solar-inv-001,2.941,30.286,226.1,13.01,49.995,576.6,44.3,on
2025-06-01T16:00:00,solar-inv-001,3.046,31.047,228.9,13.31,50.04,613.5,45.2,on
2025-06-01T16:15:00,solar-inv-001,2.574,31.691,231.0,11.14,49.97,510.9,40.4,on
2025-06-01T16:30:00,solar-inv-001,2.583,32.337,229.9,11.24,49.986,516.5,39.0,on
2025-06-01T16:45:00,solar-inv-001,1.227,32.643,229.2,5.35,49.998,249.5,29.2,on
2025-06-01T17:00:00,solar-inv-001,0.908,32.87,231.5,3.92,50.018,181.8,26.7,on
2025-06-01T17:15:00,solar-inv-001,1.988,33.367,231.1,8.6,49.997,397.7,34.4,on
2025-06-01T17:30:00,solar-inv-001,1.899,33.842,226.1,8.4,49.987,380.6,32.2,on
2025-06-01T17:45:00,solar-inv-001,0.386,33.938,231.1,1.67,49.987,81.3,22.2,on
2025-06-01T18:00:00,solar-inv-001,1.434,34.297,230.7,6.22,50.003,293.0,28.2,on
2025-06-01T18:15:00,solar-inv-001,0.998,34.546,228.7,4.36,50.014,200.4,23.8,on
2025-06-01T18:30:00,solar-inv-001,1.114,34.825,230.4,4.84,50.001,220.8,26.5,on
2025-06-01T18:45:00,solar-inv-001,0.207,34.877,229.0,0.9,49.992,42.9,18.2,on
2025-06-01T19:00:00,solar-inv-001,0.483,34.997,230.1,2.1,50.001,89.2,19.6,on
2025-06-01T19:15:00,solar-inv-001,0.272,35.065,229.4,1.19,50.014,49.3,18.5,on
2025-06-01T19:30:00,solar-inv-001,0.009,35.068,227.2,0.04,50.027,0.0,16.1,standby
2025-06-01T19:45:00,solar-inv-001,0.04,35.078,228.7,0.17,49.976,0.0,14.5,on
2025-06-01T20:00:00,solar-inv-001,0.0,35.078,229.9,0.0,49.959,0.0,14.4,standby
2025-06-01T20:15:00,solar-inv-001,0.0,35.078,227.7,0.0,49.999,0.0,15.2,standby
2025-06-01T20:30:00,solar-inv-001,0.0,35.078,227.4,0.0,49.972,0.0,13.7,standby
2025-06-01T20:45:00,solar-inv-001,0.0,35.078,230.8,0.0,49.996,0.0,14.2,standby
2025-06-01T21:00:00,solar-inv-001,0.0,35.078,232.3,0.0,50.009,0.0,13.5,standby
2025-06-01T21:15:00,solar-inv-001,0.0,35.078,227.1,0.0,50.019,0.0,12.9,standby
2025-06-01T21:30:00,solar-inv-001,0.0,35.078,229.5,0.0,50.006,0.0,13.1,standby
2025-06-01T21:45:00,solar-inv-001,0.022,35.083,228.5,0.1,49.987,0.0,9.8,on
2025-06-01T22:00:00,solar-inv-001,0.002,35.084,228.1,0.01,50.019,0.0,11.4,standby
2025-06-01T22:15:00,solar-inv-001,0.001,35.084,226.1,0.0,50.02,0.0,10.7,standby
2025-06-01T22:30:00,solar-inv-001,0.0,35.084,227.5,0.0,49.989,0.0,10.3,standby
2025-06-01T22:45:00,solar-inv-001,0.004,35.085,232.1,0.02,50.018,0.0,10.7,standby
2025-06-01T23:00:00,solar-inv-001,0.0,35.085,228.2,0.0,50.011,0.0,11.3,standby
2025-06-01T23:15:00,solar-inv-001,0.019,35.09,232.0,0.08,50.02,0.0,10.4,on
2025-06-01T23:30:00,solar-inv-001,0.0,35.09,229.8,0.0,49.993,0.0,9.7,standby
2025-06-01T23:45:00,solar-inv-001,0.0,35.09,230.2,0.0,49.99,0.0,10.5,standby
2025-06-02T00:00:00,solar-inv-001,0.0,35.09,233.0,0.0,49.976,0.0,11.1,standby
2025-06-02T00:15:00,solar-inv-001,0.008,35.092,228.7,0.03,50.003,0.0,10.1,standby
2025-06-02T00:30:00,solar-inv-001,0.0,35.092,227.9,0.0,49.983,0.0,11.3,standby
2025-06-02T00:45:00,solar-inv-001,0.006,35.093,227.2,0.03,50.001,0.0,7.7,standby
2025-06-02T01:00:00,solar-inv-001,0.001,35.093,230.4,0.0,50.006,0.0,10.8,standby
2025-06-02T01:15:00,solar-inv-001,0.0,35.093,227.7,0.0,50.006,0.0,12.0,standby
2025-06-02T01:30:00,solar-inv-001,0.001,35.094,228.8,0.0,49.974,0.0,9.7,standby
2025-06-02T01:45:00,solar-inv-001,0.028,35.101,232.4,0.12,50.009,0.0,10.9,on
2025-06-02T02:00:00,solar-inv-001,0.017,35.105,230.3,0.07,49.978,0.0,9.1,on
2025-06-02T02:15:00,solar-inv-001,0.0,35.105,231.9,0.0,50.027,0.0,12.4,standby
2025-06-02T02:30:00,solar-inv-001,0.0,35.105,229.3,0.0,50.005,0.0,10.1,standby
2025-06-02T02:45:00,solar-inv-001,0.0,35.105,229.4,0.0,50.035,0.0,12.3,standby
2025-06-02T03:00:00,solar-inv-001,0.0,35.105,231.7,0.0,49.984,0.0,13.8,standby
2025-06-02T03:15:00,solar-inv-001,0.0,35.105,233.3,0.0,50.004,0.0,13.0,standby
2025-06-02T03:30:00,solar-inv-001,0.028,35.112,229.3,0.12,50.015,0.0,12.5,on
2025-06-02T03:45:00,solar-inv-001,0.0,35.112,231.3,0.0,50.015,0.0,14.3,standby
2025-06-02T04:00:00,solar-inv-001,0.009,35.114,227.7,0.04,49.979,0.0,15.1,standby
2025-06-02T04:15:00,solar-inv-001,0.0,35.114,228.4,0.0,50.022,0.0,14.1,standby
2025-06-02T04:30:00,solar-inv-001,0.035,35.123,232.1,0.15,50.001,0.0,17.3,on
2025-06-02T04:45:00,solar-inv-001,0.0,35.123,228.8,0.0,50.038,0.0,17.1,standby
2025-06-02T05:00:00,solar-inv-001,0.006,35.124,231.3,0.03,50.005,0.0,16.5,standby
2025-06-02T05:15:00,solar-inv-001,0.023,35.13,227.9,0.1,50.0,0.0,18.2,on
2025-06-02T05:30:00,solar-inv-001,0.0,35.13,230.2,0.0,49.989,0.0,17.4,standby
2025-06-02T05:45:00,solar-inv-001,0.269,35.197,230.8,1.17,49.994,51.0,20.1,on
2025-06-02T06:00:00,solar-inv-001,0.516,35.326,229.6,2.25,50.0,106.5,22.3,on
2025-06-02T06:15:00,solar-inv-001,0.85,35.539,231.0,3.68,50.004,168.7,26.2,on
2025-06-02T06:30:00,solar-inv-001,1.049,35.801,231.3,4.54,49.968,207.1,27.7,on
2025-06-02T06:45:00,solar-inv-001,1.577,36.195,230.9,6.83,50.005,313.4,32.0,on
2025-06-02T07:00:00,solar-inv-001,0.487,36.317,235.3,2.07,49.971,98.2,25.0,on
2025-06-02T07:15:00,solar-inv-001,1.393,36.665,230.2,6.05,49.98,284.5,31.2,on
2025-06-02T07:30:00,solar-inv-001,1.985,37.162,231.5,8.57,49.963,384.8,35.6,on
2025-06-02T07:45:00,solar-inv-001,0.815,37.365,230.4,3.54,49.984,159.6,28.9,on
2025-06-02T08:00:00,solar-inv-001,0.981,37.611,227.8,4.31,50.004,200.2,32.2,on
2025-06-02T08:15:00,solar-inv-001,2.639,38.27,225.3,11.71,49.99,515.9,42.3,on
2025-06-02T08:30:00,solar-inv-001,3.043,39.031,229.6,13.25,50.007,601.2,45.5,on
2025-06-02T08:45:00,solar-inv-001,2.545,39.667,230.1,11.06,49.974,504.7,42.1,on
2025-06-02T09:00:00,solar-inv-001,2.909,40.395,227.0,12.81,49.971,578.9,44.9,on
2025-06-02T09:15:00,solar-inv-001,4.143,41.43,227.9,18.18,50.019,826.1,51.9,on
2025-06-02T09:30:00,solar-inv-001,3.714,42.359,228.0,16.29,50.011,730.6,50.1,on
2025-06-02T09:45:00,solar-inv-001,3.381,43.204,229.3,14.74,50.022,673.8,49.6,on
2025-06-02T10:00:00,solar-inv-001,4.267,44.271,230.0,18.55,50.005,851.3,54.3,on
2025-06-02T10:15:00,solar-inv-001,3.895,45.245,230.9,16.87,50.037,772.9,51.7,on
2025-06-02T10:30:00,solar-inv-001,4.337,46.329,230.0,18.86,49.999,854.6,55.2,on
2025-06-02T10:45:00,solar-inv-001,4.776,47.523,226.4,21.1,50.011,952.8,59.3,on
2025-06-02T11:00:00,solar-inv-001,4.657,48.687,231.0,20.16,49.985,921.0,58.6,on
2025-06-02T11:15:00,solar-inv-001,5.213,49.99,228.5,22.81,50.035,1035.5,60.3,on
2025-06-02T11:30:00,solar-inv-001,4.597,51.14,231.6,19.85,50.02,913.5,57.1,on
2025-06-02T11:45:00,solar-inv-001,4.562,52.28,227.9,20.02,49.989,907.8,57.5,on
2025-06-02T12:00:00,solar-inv-001,4.238,53.34,227.6,18.62,50.007,845.6,56.6,on
2025-06-02T12:15:00,solar-inv-001,5.58,54.735,229.0,24.37,50.027,1107.9,63.0,on
2025-06-02T12:30:00,solar-inv-001,3.983,55.73,229.2,17.38,50.052,795.0,55.5,on
2025-06-02T12:45:00,solar-inv-001,5.578,57.125,232.5,23.99,49.968,1101.1,62.9,on
2025-06-02T13:00:00,solar-inv-001,4.627,58.282,225.2,20.55,50.001,912.4,58.3,on
2025-06-02T13:15:00,solar-inv-001,4.237,59.341,229.8,18.44,50.011,848.8,54.3,on
2025-06-02T13:30:00,solar-inv-001,5.165,60.632,229.0,22.55,50.007,1020.4,59.1,on
2025-06-02T13:45:00,solar-inv-001,4.004,61.633,230.0,17.41,50.015,789.9,53.7,on
2025-06-02T14:00:00,solar-inv-001,3.991,62.631,229.4,17.4,49.994,796.0,53.1,on
2025-06-02T14:15:00,solar-inv-001,4.68,63.801,233.4,20.05,50.032,927.9,56.6,on
2025-06-02T14:30:00,solar-inv-001,4.555,64.94,231.9,19.64,50.024,908.1,52.6,on
2025-06-02T14:45:00,solar-inv-001,1.229,65.247,227.8,5.4,50.015,250.7,34.3,on
2025-06-02T15:00:00,solar-inv-001,3.948,66.234,228.0,17.32,49.993,784.1,50.1,on
2025-06-02T15:15:00,solar-inv-001,3.684,67.155,232.6,15.84,49.977,734.2,47.0,on
2025-06-02T15:30:00,solar-inv-001,4.224,68.211,231.2,18.27,49.993,840.6,49.7,on
2025-06-02T15:45:00,solar-inv-001,0.487,68.333,226.7,2.15,50.033,102.7,28.6,on
2025-06-02T16:00:00,solar-inv-001,1.197,68.632,228.4,5.24,49.985,234.4,30.0,on
2025-06-02T16:15:00,solar-inv-001,2.368,69.224,231.9,10.21,50.015,470.9,39.5,on
2025-06-02T16:30:00,solar-inv-001,2.971,69.967,230.7,12.88,50.019,588.7,40.5,on
2025-06-02T16:45:00,solar-inv-001,2.334,70.55,231.7,10.07,50.0,460.4,37.8,on
2025-06-02T17:00:00,solar-inv-001,1.874,71.019,228.2,8.21,50.012,367.0,34.5,on
2025-06-02T17:15:00,solar-inv-001,2.043,71.529,228.4,8.94,50.0,408.0,36.1,on
2025-06-02T17:30:00,solar-inv-001,1.684,71.951,230.2,7.32,49.976,337.0,30.8,on
2025-06-02T17:45:00,solar-inv-001,2.226,72.507,229.6,9.7,49.996,436.0,35.0,on
2025-06-02T18:00:00,solar-inv-001,1.689,72.929,230.8,7.32,49.957,330.0,29.9,on
2025-06-02T18:15:00,solar-inv-001,1.125,73.211,228.8,4.92,49.982,226.0,25.1,on
2025-06-02T18:30:00,solar-inv-001,1.096,73.485,226.8,4.83,49.97,221.5,23.8,on
2025-06-02T18:45:00,solar-inv-001,0.804,73.686,231.0,3.48,49.999,164.3,22.5,on
2025-06-02T19:00:00,solar-inv-001,0.468,73.803,231.0,2.03,49.948,91.9,19.5,on
2025-06-02T19:15:00,solar-inv-001,0.27,73.87,228.7,1.18,50.01,52.0,17.3,on
2025-06-02T19:30:00,solar-inv-001,0.0,73.87,230.8,0.0,50.011,0.0,16.0,standby
2025-06-02T19:45:00,solar-inv-001,0.039,73.88,229.2,0.17,49.991,0.0,12.8,on
2025-06-02T20:00:00,solar-inv-001,0.035,73.889,229.3,0.15,49.976,0.0,16.3,on
2025-06-02T20:15:00,solar-inv-001,0.025,73.895,230.2,0.11,49.971,0.0,14.9,on
2025-06-02T20:30:00,solar-inv-001,0.0,73.895,227.7,0.0,50.021,0.0,11.8,standby
2025-06-02T20:45:00,solar-inv-001,0.011,73.898,230.9,0.05,50.041,0.0,13.7,on
2025-06-02T21:00:00,solar-inv-001,0.0,73.898,228.3,0.0,50.001,0.0,13.3,standby
2025-06-02T21:15:00,solar-inv-001,0.02,73.903,226.1,0.09,49.993,0.0,13.5,on
2025-06-02T21:30:00,solar-inv-001,0.031,73.91,233.7,0.13,49.992,0.0,13.2,on
2025-06-02T21:45:00,solar-inv-001,0.034,73.919,232.4,0.15,50.014,0.0,12.5,on
2025-06-02T22:00:00,solar-inv-001,0.0,73.919,227.1,0.0,50.02,0.0,11.0,standby
2025-06-02T22:15:00,solar-inv-001,0.0,73.919,228.8,0.0,49.992,0.0,11.3,standby
2025-06-02T22:30:00,solar-inv-001,0.0,73.919,230.1,0.0,50.005,0.0,10.7,standby
2025-06-02T22:45:00,solar-inv-001,0.0,73.919,231.6,0.0,50.037,0.0,9.9,standby
2025-06-02T23:00:00,solar-inv-001,0.025,73.925,231.8,0.11,49.947,0.0,9.6,on
2025-06-02T23:15:00,solar-inv-001,0.0,73.925,231.6,0.0,50.004,0.0,10.7,standby
2025-06-02T23:30:00,solar-inv-001,0.013,73.928,228.2,0.06,49.985,0.0,8.9,on
2025-06-02T23:45:00,solar-inv-001,0.0,73.928,229.8,0.0,50.003,0.0,9.3,standby
2025-06-03T00:00:00,solar-inv-001,0.018,73.933,231.8,0.08,50.031,0.0,10.7,on
2025-06-03T00:15:00,solar-inv-001,0.004,73.934,231.3,0.02,50.012,0.0,9.4,standby
2025-06-03T00:30:00,solar-inv-001,0.026,73.94,233.4,0.11,50.04,0.0,10.1,on
2025-06-03T00:45:00,solar-inv-001,0.006,73.942,230.8,0.03,50.0,0.0,10.8,standby
2025-06-03T01:00:00,solar-inv-001,0.0,73.942,229.6,0.0,50.035,0.0,10.5,standby
2025-06-03T01:15:00,solar-inv-001,0.001,73.942,231.8,0.0,50.003,0.0,10.8,standby
2025-06-03T01:30:00,solar-inv-001,0.0,73.942,227.6,0.0,49.999,0.0,9.6,standby
2025-06-03T01:45:00,solar-inv-001,0.004,73.943,227.6,0.02,50.018,0.0,11.8,standby
2025-06-03T02:00:00,solar-inv-001,0.006,73.944,229.8,0.03,50.008,0.0,9.4,standby
2025-06-03T02:15:00,solar-inv-001,0.0,73.944,229.7,0.0,50.007,0.0,11.6,standby
2025-06-03T02:30:00,solar-inv-001,0.0,73.944,230.3,0.0,49.991,0.0,11.0,standby
2025-06-03T02:45:00,solar-inv-001,0.007,73.946,229.6,0.03,50.024,0.0,13.1,standby
2025-06-03T03:00:00,solar-inv-001,0.015,73.95,230.6,0.07,49.983,0.0,12.0,on
2025-06-03T03:15:00,solar-inv-001,0.0,73.95,235.8,0.0,49.978,0.0,13.2,standby
2025-06-03T03:30:00,solar-inv-001,0.0,73.95,229.4,0.0,49.988,0.0,12.0,standby
2025-06-03T03:45:00,solar-inv-001,0.0,73.95,227.2,0.0,49.997,0.0,13.8,standby
2025-06-03T04:00:00,solar-inv-001,0.0,73.95,230.4,0.0,49.988,0.0,15.9,standby
2025-06-03T04:15:00,solar-inv-001,0.0,73.95,230.5,0.0,49.973,0.0,16.2,standby
2025-06-03T04:30:00,solar-inv-001,0.0,73.95,230.8,0.0,50.007,0.0,16.0,standby
2025-06-03T04:45:00,solar-inv-001,0.004,73.951,229.2,0.02,50.027,0.0,17.7,standby
2025-06-03T05:00:00,solar-inv-001,0.01,73.953,227.6,0.04,49.978,0.0,16.7,standby
2025-06-03T05:15:00,solar-inv-001,0.0,73.953,230.9,0.0,49.982,0.0,19.2,standby
2025-06-03T05:30:00,solar-inv-001,0.0,73.953,224.8,0.0,49.985,0.0,18.1,standby
2025-06-03T05:45:00,solar-inv-001,0.261,74.019,228.8,1.14,50.03,53.3,22.2,on
2025-06-03T06:00:00,solar-inv-001,0.45,74.131,228.4,1.97,50.031,95.6,20.6,on
2025-06-03T06:15:00,solar-inv-001,0.892,74.354,229.6,3.89,50.034,177.6,25.2,on
2025-06-03T06:30:00,solar-inv-001,0.902,74.58,228.4,3.95,49.999,179.9,26.8,on
2025-06-03T06:45:00,solar-inv-001,1.503,74.955,230.6,6.52,49.997,300.1,30.8,on
2025-06-03T07:00:00,solar-inv-001,1.694,75.379,230.9,7.34,49.978,339.3,33.9,on
2025-06-03T07:15:00,solar-inv-001,2.014,75.882,230.3,8.75,50.015,398.5,36.3,on
2025-06-03T07:30:00,solar-inv-001,2.162,76.423,228.0,9.48,49.985,431.4,37.1,on
2025-06-03T07:45:00,solar-inv-001,0.632,76.581,232.9,2.71,49.97,126.6,28.3,on
2025-06-03T08:00:00,solar-inv-001,1.893,77.054,229.9,8.23,49.996,376.1,36.9,on
2025-06-03T08:15:00,solar-inv-001,2.183,77.6,230.2,9.48,50.0,433.3,37.9,on
2025-06-03T08:30:00,solar-inv-001,2.664,78.266,230.0,11.58,50.003,536.2,41.8,on
2025-06-03T08:45:00,solar-inv-001,0.441,78.376,228.1,1.93,49.977,80.5,28.4,on
2025-06-03T09:00:00,solar-inv-001,3.605,79.277,230.3,15.65,49.984,714.6,50.1,on
2025-06-03T09:15:00,solar-inv-001,3.648,80.189,229.6,15.89,50.008,722.4,48.6,on
2025-06-03T09:30:00,solar-inv-001,3.751,81.127,231.0,16.24,49.99,747.0,51.1,on
2025-06-03T09:45:00,solar-inv-001,3.154,81.916,231.6,13.62,50.015,622.2,46.5,on
2025-06-03T10:00:00,solar-inv-001,4.353,83.004,228.7,19.03,50.008,862.6,55.1,on
2025-06-03T10:15:00,solar-inv-001,4.235,84.063,229.0,18.49,50.003,841.6,53.1,on
2025-06-03T10:30:00,solar-inv-001,4.639,85.222,231.4,20.05,49.974,929.0,56.5,on
2025-06-03T10:45:00,solar-inv-001,4.517,86.352,229.2,19.71,50.02,897.7,56.9,on
2025-06-03T11:00:00,solar-inv-001,3.945,87.338,230.8,17.09,49.992,778.3,54.0,on
2025-06-03T11:15:00,solar-inv-001,3.484,88.209,231.9,15.02,50.017,684.3,49.2,on
2025-06-03T11:30:00,solar-inv-001,4.477,89.328,228.8,19.57,50.017,895.0,56.1,on
2025-06-03T11:45:00,solar-inv-001,5.239,90.638,232.0,22.58,50.004,1041.5,61.5,on
2025-06-03T12:00:00,solar-inv-001,3.656,91.552,232.6,15.72,49.988,728.8,51.8,on
2025-06-03T12:15:00,solar-inv-001,4.0,92.552,230.9,17.32,50.01,798.1,54.7,on
2025-06-03T12:30:00,solar-inv-001,4.096,93.576,232.3,17.63,50.007,815.4,53.0,on
2025-06-03T12:45:00,solar-inv-001,1.74,94.011,233.1,7.46,49.976,346.5,38.4,on
2025-06-03T13:00:00,solar-inv-001,5.427,95.368,229.5,23.65,49.969,1078.7,64.1,on
2025-06-03T13:15:00,solar-inv-001,4.957,96.607,227.3,21.81,49.993,991.3,60.1,on
2025-06-03T13:30:00,solar-inv-001,5.132,97.89,226.7,22.64,49.998,1021.9,58.4,on
2025-06-03T13:45:00,solar-inv-001,4.472,99.008,230.9,19.37,49.992,890.6,56.2,on
2025-06-03T14:00:00,solar-inv-001,3.715,99.937,230.1,16.15,50.005,740.0,51.2,on
2025-06-03T14:15:00,solar-inv-001,1.785,100.383,226.4,7.88,50.018,349.9,39.0,on
2025-06-03T14:30:00,solar-inv-001,1.126,100.664,233.2,4.83,50.005,219.4,32.7,on
2025-06-03T14:45:00,solar-inv-001,3.335,101.498,231.6,14.4,50.002,666.7,48.6,on
2025-06-03T15:00:00,solar-inv-001,3.46,102.363,230.8,14.99,49.987,691.2,49.5,on
2025-06-03T15:15:00,solar-inv-001,3.669,103.28,233.6,15.71,50.022,734.5,48.5,on
2025-06-03T15:30:00,solar-inv-001,3.16,104.07,229.1,13.79,50.015,637.1,43.6,on
2025-06-03T15:45:00,solar-inv-001,2.79,104.768,226.8,12.3,49.991,558.8,42.2,on
2025-06-03T16:00:00,solar-inv-001,3.816,105.722,233.3,16.36,49.994,758.7,49.9,on
2025-06-03T16:15:00,solar-inv-001,2.544,106.358,229.5,11.08,49.982,502.1,39.8,on
2025-06-03T16:30:00,solar-inv-001,0.906,106.584,236.4,3.83,49.997,178.7,29.4,on
2025-06-03T16:45:00,solar-inv-001,3.222,107.39,227.1,14.19,50.011,643.4,43.1,on
2025-06-03T17:00:00,solar-inv-001,2.877,108.109,232.4,12.38,49.998,566.9,39.6,on
2025-06-03T17:15:00,solar-inv-001,1.774,108.553,227.8,7.79,49.997,349.4,31.2,on
2025-06-03T17:30:00,solar-inv-001,1.609,108.955,230.6,6.98,49.969,319.7,31.8,on
2025-06-03T17:45:00,solar-inv-001,0.816,109.159,229.8,3.55,49.985,162.6,25.5,on
2025-06-03T18:00:00,solar-inv-001,1.24,109.469,229.0,5.41,49.974,248.3,28.2,on
2025-06-03T18:15:00,solar-inv-001,1.034,109.727,231.0,4.48,49.94,200.8,25.2,on
2025-06-03T18:30:00,solar-inv-001,1.026,109.984,230.5,4.45,50.015,209.1,24.9,on
2025-06-03T18:45:00,solar-inv-001,0.567,110.126,232.7,2.44,49.976,116.2,20.3,on
2025-06-03T19:00:00,solar-inv-001,0.601,110.276,230.7,2.61,50.005,114.5,20.3,on
2025-06-03T19:15:00,solar-inv-001,0.285,110.347,227.3,1.25,50.003,58.4,18.2,on
